,colsample_bytree,eta,eval_metric,gamma,lambda,max_depth,min_child_weight,objective,score,silent,subsample
203,0.7,0.0048,auc,0.7,0.63,12.0,1.0,binary:logistic,0.712262216347,1,0.85
204,0.8,0.0034,auc,0.7,0.56,11.0,2.0,binary:logistic,0.712734926739,1,0.9
205,0.55,0.0044,auc,1.0,0.5,16.0,1.0,binary:logistic,0.708192878508,1,0.8
206,0.6,0.0031,auc,0.75,0.45,13.0,1.0,binary:logistic,0.711890133388,1,0.85
207,0.5,0.0021,auc,0.6,0.35,14.0,2.0,binary:logistic,0.709744926553,1,0.9
208,0.65,0.0038,auc,0.75,0.31,10.0,1.0,binary:logistic,0.713714946679,1,0.8
209,0.5,0.0012,auc,0.65,0.54,8.0,1.0,binary:logistic,0.702739391813,1,0.85
210,0.55,0.0041,auc,0.7,0.36,19.0,1.0,binary:logistic,0.705135734551,1,0.8
211,0.5,0.0023,auc,0.8,0.41,11.0,2.0,binary:logistic,0.713824975122,1,0.95
212,0.55,0.0029,auc,0.9,0.26,9.0,1.0,binary:logistic,0.714256250592,1,0.9
213,0.6,0.0028,auc,0.9,0.21,8.0,1.0,binary:logistic,0.713149188571,1,0.95
214,0.9,0.003,auc,0.9,1.5,9.0,2.0,binary:logistic,0.712387807322,1,0.95
215,0.55,0.0026,auc,0.9,0.26,13.0,1.0,binary:logistic,0.712280467498,1,0.9
216,0.5,0.0014,auc,0.95,0.18,9.0,2.0,binary:logistic,0.697930641105,1,1.0
217,0.6,0.0021,auc,0.85,0.23,8.0,1.0,binary:logistic,0.712431284835,1,0.95
218,0.5,0.0019,auc,0.85,0.15,10.0,3.0,binary:logistic,0.711790622554,1,0.9
219,0.7,0.0045,auc,0.8,0.31,18.0,2.0,binary:logistic,0.704372921303,1,0.9
220,0.55,0.0035,auc,0.95,0.11,25.0,1.0,binary:logistic,0.701780234292,1,0.85
221,0.5,0.0009,auc,0.9,1.38,9.0,1.0,binary:logistic,0.697597708558,1,1.0
222,0.95,0.0017,auc,0.8,0.01,8.0,2.0,binary:logistic,0.711169765557,1,0.9
223,0.75,0.005,auc,0.85,0.34,11.0,1.0,binary:logistic,0.71280587781,1,0.8
224,0.55,0.0033,auc,0.85,0.17,12.0,2.0,binary:logistic,0.713142135145,1,0.95
225,0.65,0.0038,auc,0.9,0.28,9.0,1.0,binary:logistic,0.713760068803,1,0.8
226,0.6,0.0052,auc,0.85,0.38,11.0,3.0,binary:logistic,0.713358244588,1,0.85
227,0.5,0.0031,auc,0.75,0.26,10.0,1.0,binary:logistic,0.7133226764,1,1.0
228,0.55,0.0025,auc,0.95,0.21,9.0,2.0,binary:logistic,0.714067575397,1,0.9
229,0.8,0.0023,auc,0.8,0.04,8.0,6.0,binary:logistic,0.712375604106,1,0.85
230,1.0,0.0043,auc,0.8,0.48,23.0,1.0,binary:logistic,0.699039513893,1,0.8
231,0.5,0.0082,auc,0.9,0.33,13.0,1.0,binary:logistic,0.711752207892,1,0.9
232,0.6,0.0046,auc,0.95,0.12,12.0,2.0,binary:logistic,0.712691839542,1,0.95
233,0.55,0.0005,auc,0.75,0.41,14.0,1.0,binary:logistic,0.704992569381,1,0.9
234,0.5,0.0028,auc,0.8,0.45,11.0,1.0,binary:logistic,0.714003009189,1,0.85
235,0.6,0.0058,auc,0.85,0.23,21.0,2.0,binary:logistic,0.704521255355,1,0.85
236,0.65,0.0037,auc,0.9,0.14,20.0,3.0,binary:logistic,0.705303691026,1,0.8
237,0.7,0.0001,auc,0.7,0.58,10.0,1.0,binary:logistic,0.698116375858,1,0.95
238,0.55,0.0048,auc,0.85,0.3,17.0,2.0,binary:logistic,0.707304507544,1,0.9
239,0.5,0.0053,auc,0.75,0.73,8.0,1.0,binary:logistic,0.713865353058,1,0.8
240,0.55,0.0012,auc,0.8,0.08,10.0,1.0,binary:logistic,0.703827349564,1,1.0
241,0.65,0.0015,auc,0.95,0.19,9.0,2.0,binary:logistic,0.712568814723,1,0.75
242,0.5,0.0096,auc,0.9,0.81,12.0,1.0,binary:logistic,0.712454359913,1,0.85
243,0.55,0.0035,auc,0.7,0.04,11.0,1.0,binary:logistic,0.714060851877,1,0.85
244,0.6,0.0042,auc,0.65,0.01,8.0,2.0,binary:logistic,0.713722853146,1,0.9
245,0.5,0.005,auc,0.75,0.26,12.0,1.0,binary:logistic,0.713004995561,1,0.8
246,0.5,0.006,auc,0.85,0.37,16.0,2.0,binary:logistic,0.709239669644,1,0.5
247,0.6,0.0018,auc,0.8,0.48,24.0,3.0,binary:logistic,0.705608825751,1,0.75
248,0.85,0.0069,auc,1.0,0.62,15.0,1.0,binary:logistic,0.7067704256,1,0.95
249,0.55,0.0029,auc,0.95,0.17,10.0,1.0,binary:logistic,0.714195305648,1,0.85
250,0.75,0.0065,auc,0.75,0.69,9.0,2.0,binary:logistic,0.713223468377,1,0.8
251,0.55,0.0033,auc,0.9,0.4,13.0,1.0,binary:logistic,0.712041231298,1,0.9
252,0.5,0.0026,auc,0.85,0.12,14.0,6.0,binary:logistic,0.711821149958,1,0.8
253,0.6,0.0021,auc,0.75,0.33,8.0,2.0,binary:logistic,0.705303906073,1,1.0
254,0.65,0.0046,auc,0.7,0.44,11.0,1.0,binary:logistic,0.713008249612,1,0.95
255,0.7,0.004,auc,0.8,0.24,9.0,1.0,binary:logistic,0.713665226783,1,0.85
256,0.5,0.0087,auc,0.85,0.28,10.0,1.0,binary:logistic,0.714142167754,1,0.9
257,0.55,0.0036,auc,0.95,0.65,10.0,1.0,binary:logistic,0.714314222274,1,0.85
258,0.55,0.0036,auc,0.95,0.77,11.0,1.0,binary:logistic,0.713872039494,1,0.85
259,0.55,0.0032,auc,1.0,0.88,10.0,1.0,binary:logistic,0.714087296252,1,0.85
260,0.5,0.0039,auc,1.0,0.84,9.0,1.0,binary:logistic,0.714346923983,1,0.9
261,0.5,0.0042,auc,1.0,0.91,9.0,1.0,binary:logistic,0.714211542665,1,0.9
262,0.55,0.0031,auc,1.0,0.83,8.0,1.0,binary:logistic,0.71343264228,1,0.95
263,0.5,0.0025,auc,1.0,0.99,10.0,1.0,binary:logistic,0.711992136754,1,0.9
264,0.6,0.0037,auc,0.95,1.03,12.0,1.0,binary:logistic,0.712620445807,1,0.95
265,0.55,0.0023,auc,1.0,0.85,11.0,1.0,binary:logistic,0.711641666467,1,0.95
266,0.5,0.0039,auc,0.95,1.11,8.0,1.0,binary:logistic,0.713977766511,1,0.9
267,0.6,0.0044,auc,1.0,0.78,10.0,1.0,binary:logistic,0.713702579248,1,0.95
268,0.55,0.0027,auc,0.95,0.95,11.0,1.0,binary:logistic,0.70974100334,1,1.0
269,0.5,0.0034,auc,0.95,0.72,9.0,1.0,binary:logistic,0.711737016185,1,0.9
270,0.55,0.0049,auc,1.0,0.75,8.0,1.0,binary:logistic,0.714171230877,1,0.9
